관리번호,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,통합영업상태명,영업상태명,소재지시설전화번호,소재지면적정보,X좌표값,Y좌표값,영업장주변구분명,급수시설구분명,다중이용업소여부,시설총규모정보,카테고리
3770000-101-2025-00225,(주)니트로아이,20250818,"경기도 수원시 팔달구 경수대로446번길 24, 5층 (인계동)",경기도 수원시 팔달구 인계동 1025-12,16490.0,37.2655063427,127.0277221029,영업/정상,영업,,17.68,202388.050019474,418173.565177636,,,N,17.68,한식
5610000-101-2018-00265,(주)대가원,20181012,"경기도 수원시 영통구 중부대로368번길 8-12, 1,2층 (매탄동)","경기도 수원시 영통구 매탄동 1197-4 1,2층",16528.0,37.271967611,127.0552029445,영업/정상,영업,031-212-3120,657.60,204826.855807564,418891.030212176,,,Y,657.6,한식
3770000-101-2019-00019,(주)디케이푸드 수원점,20190121,"경기도 수원시 팔달구 권선로 733, 지하1층 B01호 (인계동, LD그린토피아)","경기도 수원시 팔달구 인계동 1135 LD그린토피아, 지하1층 B01호",16491.0,37.2582391088,127.0317595815,영업/정상,영업,031-689-3571,320.10,202746.954430608,417367.54001781,,상수도전용,Y,320.1,한식
3760000-101-2025-00364,(주)미림양장 타임빌라스수원점,20251211,"경기도 수원시 권선구 세화로 134, 타임빌라스 수원 3층 일부호 (서둔동)",경기도 수원시 권선구 서둔동 381 타임빌라스 수원,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,129.25,199673.378589066,418025.547756245,,상수도전용,Y,129.25,한식
3770000-101-2014-00330,(주)바르미 심비디움 AK플라자수원점,20141124,"경기도 수원시 팔달구 덕영대로 924, AK플라자 6층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자,16622.0,37.2656360259,127.000033255,영업/정상,영업,031-8066-0713,700.11,199920.194662903,418246.927112644,기타,상수도전용,Y,700.11,한식
3770000-101-2025-00207,(주)브라더스스토어 단정 에이케이수원점,20250801,"경기도 수원시 팔달구 덕영대로 924, AK플라자 지하1층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자,16622.0,37.2656360259,127.000033255,영업/정상,영업,,25.83,199920.194662903,418246.927112644,,,N,25.83,한식
5610000-101-2015-00155,(주)아워홈 아주대학교병원장례식장점,20150506,"경기도 수원시 영통구 광교중앙로49번길 46, 지하1층 (원천동)",경기도 수원시 영통구 원천동 산 5-1,16500.0,37.280933319,127.0496001709,영업/정상,영업,031-219-4576,173.02,203953.759187743,420237.186459172,,상수도전용,Y,173.02,한식
3760000-101-2021-00044,(주)유천대가 유천냉면 NC수원터미널점,20210204,"경기도 수원시 권선구 경수대로 270, 5층 (권선동)","경기도 수원시 권선구 권선동 1189 터미널동, 할인점동",16585.0,37.2504974396,127.0208246964,영업/정상,영업,,149.10,201782.733115582,416501.699707548,아파트지역,상수도전용,Y,149.1,한식
3760000-101-2021-00256,(주)이랜드이츠 로운 NC수원터미널,20210827,"경기도 수원시 권선구 경수대로 270, 터미널동, 할인점동 6층 (권선동)","경기도 수원시 권선구 권선동 1189 터미널동, 할인점동",16585.0,37.2504974396,127.0208246964,영업/정상,영업,,705.92,201782.733115582,416501.699707548,,상수도전용,Y,705.92,한식
3750000-101-2015-00149,(주)정성푸드마스타 소담치킨 정자지점,20150930,경기도 수원시 장안구 송정로60번길 7 (정자동),경기도 수원시 장안구 정자동 36-4,16312.0,37.2957139052,127.0039524451,영업/정상,영업,1661-5092,22.60,200279.761997186,421526.462630244,,상수도전용,N,22.6,한식
3770000-101-2008-00275,(주)중앙면옥,20081119,경기도 수원시 팔달구 효원로307번길 51 (인계동),경기도 수원시 팔달구 인계동 1121-5,16488.0,37.2633129493,127.0360814346,영업/정상,영업,,301.15,203124.215451718,417927.201364056,,,N,301.15,한식
3750000-101-2013-00022,(주)천지염소탕,20130308,경기도 수원시 장안구 영화로26번길 15 (영화동),경기도 수원시 장안구 영화동 414-4,16271.0,37.2897715908,127.009925698,영업/정상,영업,031-248-5679,82.80,200817.976,420870.438,,,N,82.8,한식
3760000-101-2016-00094,(주)한양에프엔비 조선속초코다리냉면 수원점,20160425,"경기도 수원시 권선구 세화로 134, 지하1층 (서둔동, 롯데몰수원)","경기도 수원시 권선구 서둔동 296-77 롯데몰수원, 지하1층",16621.0,37.2641013965,126.9973705173,영업/정상,영업,02-569-3929,27.00,199673.378589066,418025.547756245,기타,상수도전용,N,27.0,한식
3760000-101-2025-00260,"1,2,3포차",20250922,"경기도 수원시 권선구 경수대로384번길 33, 1층 101호 (권선동)",경기도 수원시 권선구 권선동 1018-8,16571.0,37.2602090703,127.026198896,영업/정상,영업,,79.97,202246.157991835,417588.465927087,,,N,79.97,한식
3760000-101-2019-00179,1.3수제도시락,20190626,"경기도 수원시 권선구 권선로766번길 14, 1층 (권선동)",경기도 수원시 권선구 권선동 1164-9,16562.0,37.2563925519,127.0343759643,영업/정상,영업,,37.08,202977.249950826,417163.655348749,,상수도전용,N,37.08,한식
3760000-101-2003-00268,1004맛집,20030618,경기도 수원시 권선구 정조로 577 (세류동),경기도 수원시 권선구 세류동 172-13,16576.0,37.260642228,127.0129902523,영업/정상,영업,031-222-0433,31.35,201079.604506177,417635.90630667,,상수도전용,N,31.35,한식
3770000-101-2003-00470,100년한우&100년갈비,20030823,경기도 수원시 팔달구 경수대로428번길 23 (인계동),경기도 수원시 팔달구 인계동 1027-8,16490.0,37.264205666,127.0270535444,영업/정상,영업,031-233-3232,138.90,202329.697841179,418028.376235878,,,N,138.9,한식
3760000-101-2019-00356,101호,20191219,"경기도 수원시 권선구 경수대로338번길 28, 1층 (권선동)",경기도 수원시 권선구 권선동 1057-8,16566.0,37.256179766,127.0239349386,영업/정상,영업,,73.38,202050.529603554,417137.308286435,,상수도전용,N,73.38,한식
3770000-101-2004-00002,119양푼이,20040106,경기도 수원시 팔달구 월드컵로211번길 3 (우만동),경기도 수원시 팔달구 우만동 58-27,16497.0,37.2800151898,127.0428825339,영업/정상,영업,,45.56,203724.584770386,419776.904759314,,,N,45.56,한식
3770000-101-2015-00229,153구포국수 수원시청역점,20151012,"경기도 수원시 팔달구 권광로 181, 105호 (인계동, 씨네파크)",경기도 수원시 팔달구 인계동 1113-11 외 1필지 씨네파크 105호,16490.0,37.2637484595,127.032221704,영업/정상,영업,,62.40,202791.447909095,418001.500229101,,상수도전용,N,62.4,한식
3750000-101-2025-00125,153포인츠부대찌개 수원파장점,20250701,"경기도 수원시 장안구 경수대로 1110-31, 1층 일부호 (파장동)",경기도 수원시 장안구 파장동 216-4,16206.0,37.3115925054,126.9924163531,영업/정상,영업,,145.07,199262.370255411,423304.187338011,,상수도전용,N,145.07,한식
3770000-101-2012-00071,1976북경닭날개구이,20120409,"경기도 수원시 팔달구 고매로 33, 1층 (고등동)",경기도 수원시 팔달구 고등동 58-7,16454.0,37.2725547488,127.0055256183,영업/정상,영업,031-255-6277,56.51,200417.972768593,418957.300363313,,상수도전용,N,56.51,한식
3750000-101-2025-00149,1등아구찜,20250807,"경기도 수원시 장안구 영화로72번길 3, 광일빌딩 1층 일부호 (정자동)",경기도 수원시 장안구 정자동 68-8 광일빌딩,16311.0,37.2931117358,127.0067901112,영업/정상,영업,,43.66,200532.474398249,421241.063181375,주택가주변,상수도전용,N,43.66,한식
5610000-101-2025-00323,1등아구찜 수원직영점,20250925,"경기도 수원시 영통구 중부대로256번길 37-8, 1층 (매탄동)",경기도 수원시 영통구 매탄동 172-103,16531.0,37.2727522199,127.0434678565,영업/정상,영업,,44.88,203782.396653566,418976.721226698,,,N,44.88,한식
5610000-101-2011-00062,1박2일,20110412,"경기도 수원시 영통구 중부대로246번길 36-1 (매탄동,2층)",경기도 수원시 영통구 매탄동 172-7 2층,16530.0,37.2733678486,127.0418286276,영업/정상,영업,031-212-0221,124.70,203636.67527501,419046.742982148,,,Y,124.7,한식
3760000-101-2022-00312,1인자감자탕,20221129,"경기도 수원시 권선구 정조로388번길 13, 영주빌딩 1층 일부호 (세류동)",경기도 수원시 권선구 세류동 1158-25 영주빌딩,16660.0,37.2443910997,127.0154400574,영업/정상,영업,031-238-3350,170.78,201298.332475787,415830.750172046,,상수도전용,N,170.78,한식
3760000-101-2002-00499,1인자감자탕,20021023,경기도 수원시 권선구 매송고색로676번길 3 (고색동),경기도 수원시 권선구 고색동 380-4,16650.0,37.2499409949,126.9787240961,영업/정상,영업,031-298-2154,208.94,198042.661839747,416446.763782048,주택가주변,상수도전용,N,208.94,한식
3750000-101-2012-00099,1인자감자탕,20120712,경기도 수원시 장안구 화산로233번길 43 (율전동),경기도 수원시 장안구 율전동 433-114,16362.0,37.2978314872,126.9705069613,영업/정상,영업,031-292-1020,77.61,197313.403690671,421760.510275374,,,N,77.61,한식
3770000-101-2002-00959,1인자감자탕 본점,20021224,경기도 수원시 팔달구 중부대로206번길 4 (인계동),경기도 수원시 팔달구 인계동 158-8,16530.0,37.276175206,127.0382246347,영업/정상,영업,031-211-0456,146.24,203318.450507782,419359.397842504,,상수도전용,N,146.24,한식
3770000-101-2007-00060,1인자감자탕(화서점),20070326,경기도 수원시 팔달구 화양로 28 (화서동),경기도 수원시 팔달구 화서동 205-5,16439.0,37.2807955691,126.9974625705,영업/정상,영업,031-242-8221,106.34,199699.048261312,419865.69659369,,상수도전용,N,106.34,한식
3760000-101-2023-00225,1일1냥,20230630,"경기도 수원시 권선구 세지로126번길 3, 2층 일부호 (권선동)",경기도 수원시 권선구 권선동 950-13,16569.0,37.2629337268,127.0200918027,영업/정상,영업,,86.38,201711.463946794,417889.804442816,,,N,86.38,한식
3770000-101-2026-00073,23번지한식 행궁점,20260311,"경기도 수원시 팔달구 정조로 864, 1층 일부호 (북수동)",경기도 수원시 팔달구 북수동 219,16253.0,37.285100167,127.0159575531,영업/정상,영업,,.00,201352.213790634,420350.896967054,,,N,0.0,한식
3770000-101-1987-00006,24시 선지해장국,19980529,경기도 수원시 팔달구 경수대로519번길 21 (인계동),경기도 수원시 팔달구 인계동 961-17,16481.0,37.2726081129,127.0274183215,영업/정상,영업,031-232-7840,54.60,202363.660831859,418961.382656808,,,N,54.6,한식
5610000-101-2020-00014,24시 전주국밥,20200114,"경기도 수원시 영통구 청명남로 46, 1층 (영통동)",경기도 수원시 영통구 영통동 1037-3,16705.0,37.2534410164,127.0765341217,영업/정상,영업,,111.94,206721.243441291,416835.70992471,,,N,111.94,한식
3770000-101-2001-00528,24시돼지네,20010323,경기도 수원시 팔달구 장다리로 330 (인계동),경기도 수원시 팔달구 인계동 940-17,16483.0,37.2773314162,127.0319571844,영업/정상,영업,031-236-0136,77.22,202766.72994273,419496.291680345,,,N,77.22,한식
5610000-101-2014-00298,24시전주명가콩나물국밥,20141121,"경기도 수원시 영통구 영통로 103, 뉴LG프라자 1층 107,108,109호 (망포동)","경기도 수원시 영통구 망포동 570-5 뉴LG프라자 107,108,109호",16687.0,37.2373925781,127.0582923263,영업/정상,영업,031-202-3989,110.72,205097.555414086,415047.725564943,,,N,110.72,한식
3760000-101-1999-00122,24시한라산생고기와감자탕,19990130,경기도 수원시 권선구 정조로513번길 6 (세류동),경기도 수원시 권선구 세류동 459-15,16587.0,37.2552254035,127.0109389407,영업/정상,영업,031-221-5244,35.36,200899.48318723,417035.182478031,기타,상수도전용,N,35.36,한식
3750000-101-2016-00215,3.8포차,20160114,"경기도 수원시 장안구 송정로 83, 129호 (송죽동, 수원로얄팰리스)",경기도 수원시 장안구 송죽동 514 수원로얄팰리스 129호,16307.0,37.2961110217,127.0062289565,영업/정상,영업,031-546-3852,47.48,200562.30206531,421568.086678547,,상수도전용,N,47.48,한식
5610000-101-2022-00038,30년불멸의닭발,20220210,"경기도 수원시 영통구 산남로29번길 29, 1층 102호 일부호 (매탄동)",경기도 수원시 영통구 매탄동 209-21,16539.0,37.2661242537,127.0474552803,영업/정상,영업,,5.22,204136.083444885,418243.206302742,,,N,5.22,한식
3750000-101-2025-00181,365 김치찜 성균관대점,20250915,"경기도 수원시 장안구 정자천로13번길 45, 신원프라자 102호 (천천동)",경기도 수원시 장안구 천천동 325-40 신원프라자,16421.0,37.2907994424,126.9783520805,영업/정상,영업,,41.58,198006.311042513,420979.416337153,,,N,41.58,한식
3760000-101-1995-00120,36닭발,19950525,경기도 수원시 권선구 장다리로 105-1 (권선동),경기도 수원시 권선구 권선동 972-8,16564.0,37.2596679093,127.021634964,영업/정상,영업,031-221-3392,52.44,201847.773370938,417525.825879597,기타,상수도전용,N,52.44,한식
5610000-101-2023-00268,3월3일구이,20230712,"경기도 수원시 영통구 청명로 28, 보보스 스포렉스 1층 129호 (영통동)",경기도 수원시 영통구 영통동 1025-1 보보스 스포렉스,16710.0,37.2496967486,127.0806256672,영업/정상,영업,,47.72,207095.220476627,416428.646331905,,,N,47.72,한식
5610000-101-2013-00257,3층집 매탄본점,20131017,"경기도 수원시 영통구 효원로 397 (매탄동, 1267-7 중앙프라자 305호)",경기도 수원시 영통구 매탄동 1267-7 중앙프라자 305호,16545.0,37.2590575448,127.0451631692,영업/정상,영업,031-215-3200,72.71,203934.502216103,417457.292278198,,상수도전용,N,72.71,한식
5610000-101-2003-00716,5.5닭갈비,20031114,"경기도 수원시 영통구 영통로112번길 30, 나눔빌딩 1층 (망포동)",경기도 수원시 영통구 망포동 540-5 나눔빌딩,16692.0,37.2392342133,127.0566242572,영업/정상,영업,031-273-5550,117.48,204965.569171141,415259.013022588,,,N,117.48,한식
3760000-101-2008-00003,500°도 참숯불맛삼겹살,20080107,경기도 수원시 권선구 덕영대로1142번길 23-17 (세류동),경기도 수원시 권선구 세류동 1131-26,16657.0,37.2503172228,127.0164056686,영업/정상,영업,031-234-2187,46.29,201382.703326913,416486.172948352,,상수도전용,N,46.29,한식
3770000-101-2025-00138,52번길,20250526,"경기도 수원시 팔달구 매산로52번길 20, 1층 (매산로3가)",경기도 수원시 팔달구 매산로3가 79-14,16460.0,37.2678749696,127.0073156757,영업/정상,영업,,30.92,200577.121786705,418434.33262809,,,N,30.92,한식
3750000-101-1990-00087,59쌀피자 송죽점,19900512,"경기도 수원시 장안구 송정로34번길 1, 1층 일부호 (정자동)",경기도 수원시 장안구 정자동 33-1,16312.0,37.2960979366,127.0009599907,영업/정상,영업,031-258-5949,25.31,200014.030608507,421566.65014027,,상수도전용,N,25.31,한식
3770000-101-2020-00036,60계치킨수원화서점,20200207,"경기도 수원시 팔달구 동말로 42-1, 1층 (화서동)",경기도 수원시 팔달구 화서동 175-2 1층,16442.0,37.2784759276,126.9988654487,영업/정상,영업,031-256-0060,110.98,199831.360736727,419607.609374807,,상수도전용,N,110.98,한식
3770000-101-2017-00092,60족 인계점,20170426,"경기도 수원시 팔달구 권광로 208, 103호 (인계동, 인송빌딩)",경기도 수원시 팔달구 인계동 1114-10 인송빌딩 103호,16488.0,37.2658825041,127.0339340792,영업/정상,영업,,11.20,202938.71678925,418217.110663808,,상수도전용,N,11.2,한식
3760000-101-2024-00178,60판왕뚜껑삼겹살,20240610,"경기도 수원시 권선구 당진로15번길 34, 1층 (당수동)",경기도 수원시 권선구 당수동 276-34,16376.0,37.2914575754,126.9389618979,영업/정상,영업,,122.98,194514.537658242,421058.445956323,,,N,122.98,한식
3760000-101-2015-00099,60판왕뚜껑삼겹살,20150423,"경기도 수원시 권선구 세권로304번길 1-22 (권선동, 1층)",경기도 수원시 권선구 권선동 1287-7 1층,16553.0,37.2516552539,127.0377090302,영업/정상,영업,031-233-9588,113.27,203272.7185939,416633.893448687,,,N,113.27,한식
3760000-101-2020-00220,60판왕뚜껑삼겹살 오목천점,20200811,"경기도 수원시 권선구 온정로9번길 21, 1층 (오목천동)",경기도 수원시 권선구 오목천동 327-4,16631.0,37.2467928353,126.9640764943,영업/정상,영업,,155.59,196744.791601899,416097.003125802,,,N,155.59,한식
3760000-101-2023-00090,60판왕뚜껑삼겹살(곡선점),20230323,"경기도 수원시 권선구 덕영대로1207번길 46-14, 1층 상가호 (권선동)",경기도 수원시 권선구 권선동 1196-1,16584.0,37.2508350766,127.0240813281,영업/정상,영업,,71.20,202063.715886513,416544.264729158,,,N,71.2,한식
3750000-101-2000-00358,60판왕뚜껑삼겹살(파장본점),20001013,경기도 수원시 장안구 파장로 99 (정자동),경기도 수원시 장안구 정자동 540-6,16337.0,37.3076900459,126.9904452322,영업/정상,영업,031-269-2471,59.76,199081.301604037,422854.603521909,기타,상수도전용,N,59.76,한식
3750000-101-2021-00142,60판왕뚜껑삼겹살(푸르지오점),20210831,"경기도 수원시 장안구 일월로76번길 13, 1층 (천천동)",경기도 수원시 장안구 천천동 385-12,16421.0,37.2899036117,126.9775685374,영업/정상,영업,031-268-1365,79.74,197939.546065546,420881.810499602,,상수도전용,N,79.74,한식
3760000-101-2003-00014,65 public House (65 퍼블릭하우스),20030113,경기도 수원시 권선구 곡반정로65번길 33 (곡반정동),경기도 수원시 권선구 곡반정동 593-2,16672.0,37.2349459806,127.0269658203,영업/정상,영업,031-223-7785,56.00,202314.802205408,414783.507704641,기타,상수도전용,N,56.0,한식
5610000-101-2006-00204,666버거 본점,20061123,"경기도 수원시 영통구 매영로 110, 상가동 106,107호 (매탄동, 백자아파트)","경기도 수원시 영통구 매탄동 1217-5 백자아파트 106,107호 상가동",16542.0,37.266834929,127.0542067999,영업/정상,영업,031-215-3789,88.00,204718.292283332,418330.615353231,,,N,88.0,한식
3760000-101-2024-00176,77비어,20240605,"경기도 수원시 권선구 일월천로16번길 14, 1층 (구운동)",경기도 수원시 권선구 구운동 907-7,16413.0,37.2833255626,126.9739702998,영업/정상,영업,,158.76,197619.340261916,420151.657908575,,,N,158.76,한식
5610000-101-2002-00514,79짬뽕,20020712,"경기도 수원시 영통구 매영로 222, 1층 (원천동)",경기도 수원시 영통구 원천동 362-1,16675.0,37.2613264664,127.0636335088,영업/정상,영업,031-212-3192,166.04,205572.762300876,417717.147909185,,상수도전용,N,166.04,한식
3760000-101-2022-00151,79포차,20220701,"경기도 수원시 권선구 세지로28번길 41, 1층 (일부)호 (세류동)",경기도 수원시 권선구 세류동 1095-9,16579.0,37.2540193787,127.0179832675,영업/정상,영업,031-222-5209,40.11,201524.06492537,416899.692044509,,상수도전용,N,40.11,한식
3760000-101-2020-00163,8694辛마라,20200622,"경기도 수원시 권선구 금곡로102번길 38, 102호 (금곡동)",경기도 수원시 권선구 금곡동 1083-1,16385.0,37.2724667914,126.941178226,영업/정상,영업,,41.80,194713.343458609,418944.229313074,,상수도전용,N,41.8,한식
3760000-101-2023-00227,8786푸드,20230703,"경기도 수원시 권선구 세권로138번길 13, 1층 일부호 (세류동, 하우스타 13)",경기도 수원시 권선구 세류동 1083-11 하우스타 13,16579.0,37.2562143442,127.0191082413,영업/정상,영업,,24.40,201625.172132085,417143.474114763,,,N,24.4,한식
3760000-101-2021-00307,888통영조개구이찜,20211028,"경기도 수원시 권선구 곡선로50번길 5-18, 1층 (곡반정동)",경기도 수원시 권선구 곡반정동 567-7,16671.0,37.2380884248,127.0306328232,영업/정상,영업,031-548-1747,115.82,202645.46070014,415131.333073203,,상수도전용,N,115.82,한식
5610000-101-2017-00281,88수제 숯불갈비(광교 직영점),20171031,"경기도 수원시 영통구 대학1로58번길 5, 1층 (이의동)",경기도 수원시 영통구 이의동 1263-13 1층,16226.0,37.2991366143,127.0459825612,영업/정상,영업,031-215-1192,107.31,204007.63,421905.109999999,,,N,107.31,한식
3750000-101-2017-00146,88수제숯불갈비(본점),20170922,경기도 수원시 장안구 수성로304번길 36-2 (영화동),경기도 수원시 장안구 영화동 405-11,16273.0,37.2899371908,127.0063934057,영업/정상,영업,031-244-8484,86.92,200496.020293677,420886.351786562,,,N,86.92,한식
5610000-101-2000-00592,88신강양꼬치,20000419,경기도 수원시 영통구 청명북로7번길 16-1 (영통동),경기도 수원시 영통구 영통동 1042-7,16705.0,37.2528978945,127.0784203121,영업/정상,영업,031-202-6520,93.76,206886.273924246,416776.098964557,,,N,93.76,한식
5610000-101-2024-00181,88청춘 왕십리 곱창,20240523,"경기도 수원시 영통구 신원로 55, 테크트리 영통 지식산업센터 1층 117호 (신동)",경기도 수원시 영통구 신동 478-6 테크트리 영통 지식산업센터,16677.0,37.2487558667,127.0478523397,영업/정상,영업,,53.55,204158.20826042,416378.941446645,,,N,53.55,한식
5610000-101-1999-00395,88포장마차 영통점,19990415,"경기도 수원시 영통구 청명남로 30 (영통동,거성빌딩 202,203호)","경기도 수원시 영통구 영통동 1010-13 거성빌딩 202,203호",16705.0,37.2521931551,127.0754360338,영업/정상,영업,031-273-6447,223.56,206621.473848068,416699.17507388,,상수도전용,Y,223.56,한식
3770000-101-2021-00351,88푸드,20210927,"경기도 수원시 팔달구 효원로 193, 1층 (인계동)",경기도 수원시 팔달구 인계동 1008-8,16479.0,37.2641352955,127.0229939029,영업/정상,영업,,66.00,201969.426691767,418023.222327052,,상수도전용,N,66.0,한식
5610000-101-2025-00342,9.4 닭갈비,20251014,"경기도 수원시 영통구 매영로415번길 42-12, 1층 (영통동)",경기도 수원시 영통구 영통동 1019-10,16705.0,37.2488601925,127.078578117,영업/정상,영업,,113.33,206900.297687288,416330.584075685,,,N,113.33,한식
3770000-101-2004-00259,955카페,20040831,"경기도 수원시 팔달구 효원로307번길 51, 2,3층 (인계동)",경기도 수원시 팔달구 인계동 1121-5,16488.0,37.2633129493,127.0360814346,영업/정상,영업,031-239-0654,458.64,203124.215451718,417927.201364056,,상수도전용,Y,458.64,한식
3770000-101-2012-00218,987솥뚜껑삼겹살,20121012,경기도 수원시 팔달구 매산로 21-9 (매산로1가),경기도 수원시 팔달구 매산로1가 42-1,16455.0,37.2680486623,127.0035813343,영업/정상,영업,,99.07,200248.263119107,418455.488009561,,상수도전용,N,99.07,한식
3760000-101-2024-00104,99장어88,20240415,"경기도 수원시 권선구 호매실로104번길 24-70, 104호, 105호 (호매실동)",경기도 수원시 권선구 호매실동 1399-1,16630.0,37.259191835,126.9631541444,영업/정상,영업,,70.56,196660.360255818,417473.514604383,,,N,70.56,한식
3760000-101-2015-00038,ARCOBALENO(아르코발레노),20150217,"경기도 수원시 권선구 곡선로50번길 14-7, 1층 101호 (곡반정동)",경기도 수원시 권선구 곡반정동 569-6 101호,16671.0,37.2382080373,127.0289747826,영업/정상,영업,031-233-9202,58.15,202500.207292466,415146.755126807,,,N,58.15,한식
3770000-101-2018-00060,B1(비원),20180405,"경기도 수원시 팔달구 신풍로63번길 3-1, 지하1층 (장안동)",경기도 수원시 팔달구 장안동 53-8 지하1층,16250.0,37.2866047522,127.0135788317,영업/정상,영업,,121.76,201134.361731463,420515.366082348,,상수도전용,Y,121.76,한식
5610000-101-2017-00242,BHC 영통공원점,20170914,"경기도 수원시 영통구 매영로345번길 7, 1층 107호 (영통동, 영통트리플랙스)",경기도 수원시 영통구 영통동 961-6 영통트리플랙스 107호,16703.0,37.252771725,127.0708997024,영업/정상,영업,,47.70,206219.543996719,416763.289784142,,,N,47.7,한식
5610000-101-2006-00019,BHC치킨 아주대점,20060220,"경기도 수원시 영통구 아주로4번길 16, 1층 (원천동)",경기도 수원시 영통구 원천동 79-1,16503.0,37.2750925508,127.044953917,영업/정상,영업,,82.60,203913.59240556,419236.107394104,,,N,82.6,한식
3760000-101-2023-00454,HW바른한상,20230901,"경기도 수원시 권선구 권광로 98, 1층 일부호 (권선동)",경기도 수원시 권선구 권선동 1039-14,16561.0,37.2565831177,127.0301346839,영업/정상,영업,,26.13,202598.525973047,417184.099830785,,,N,26.13,한식
3760000-101-2024-00402,HW푸드,20240726,"경기도 수원시 권선구 권광로 98, 1층 일부호 (권선동)",경기도 수원시 권선구 권선동 1039-14,16561.0,37.2565831177,127.0301346839,영업/정상,영업,,19.50,202598.525973047,417184.099830785,,,N,19.5,한식
5610000-101-2024-00316,HY컴퍼니,20240927,"경기도 수원시 영통구 매영로39번길 20, 1층 101-3호 (매탄동)",경기도 수원시 영통구 매탄동 199-6,16524.0,37.2700735644,127.0477700117,영업/정상,영업,,34.35,204166.341075827,418683.24111113,,,N,34.35,한식
3770000-101-2019-00029,Korea Bistro Beef 유케집(코리아 비스트로 비프) 인계점,20190201,"경기도 수원시 팔달구 권광로196번길 17-6, 1층 (인계동)",경기도 수원시 팔달구 인계동 1115-20 1층,16488.0,37.2649927627,127.0346049725,영업/정상,영업,,49.64,202998.609063048,418117.421066455,,상수도전용,N,49.64,한식
